order_id,item_id,product_id,quantity,item_list_price,discount,revenue,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,order_status_label,first_name,last_name,customer_name,customer_phone,customer_email,customer_street,customer_city,customer_state,customer_zip,store_name,store_phone,store_email,store_street,store_city,store_state,store_zip,staff_name,product_name,model_year,product_list_price,brand_name,category_name
1,1,20,1,599.99,0.2,479.992,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,Johnathan,Velazquez,Johnathan Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya Copeland,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Electra,Cruisers Bicycles
1,2,8,2,1799.99,0.07,3347.9814,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,Johnathan,Velazquez,Johnathan Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya Copeland,Trek Remedy 29 Carbon Frameset - 2016,2016,1799.99,Trek,Mountain Bikes
1,3,10,2,1549.0,0.05,2943.1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,Johnathan,Velazquez,Johnathan Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya Copeland,Surly Straggler - 2016,2016,1549.0,Surly,Cyclocross Bicycles
1,4,16,2,599.99,0.05,1139.981,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,Johnathan,Velazquez,Johnathan Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya Copeland,Electra Townie Original 7D EQ - 2016,2016,599.99,Electra,Cruisers Bicycles
1,5,4,1,2899.99,0.2,2319.992,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Completed,Johnathan,Velazquez,Johnathan Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Mireya Copeland,Trek Fuel EX 8 29 - 2016,2016,2899.99,Trek,Mountain Bikes
2,1,20,1,599.99,0.07,557.9907,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Completed,Jaqueline,Cummings,Jaqueline Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Marcelene Boyer,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Electra,Cruisers Bicycles
2,2,16,2,599.99,0.05,1139.981,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Completed,Jaqueline,Cummings,Jaqueline Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Marcelene Boyer,Electra Townie Original 7D EQ - 2016,2016,599.99,Electra,Cruisers Bicycles
3,1,3,1,999.99,0.05,949.9905,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Completed,Joshua,Robertson,Joshua Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Venita Daniel,Surly Wednesday Frameset - 2016,2016,999.99,Surly,Mountain Bikes
3,2,20,1,599.99,0.05,569.9905,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Completed,Joshua,Robertson,Joshua Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432,Venita Daniel,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Electra,Cruisers Bicycles
4,1,2,2,749.99,0.1,1349.982,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Completed,Nova,Hess,Nova Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060,Genna Serrano,Ritchey Timberwolf Frameset - 2016,2016,749.99,Ritchey,Mountain Bikes
